frame,rect_id,first,second,fourth,fifth
938,../paintings_db/009.png,../paintings_db/093.png,../paintings_db/039.png,../paintings_db/082.png,../paintings_db/047.png
940,../paintings_db/039.png,../paintings_db/088.png,../paintings_db/042.png,../paintings_db/009.png,../paintings_db/029.png
951,../paintings_db/009.png,../paintings_db/030.png,../paintings_db/029.png,../paintings_db/042.png,../paintings_db/031.png
953,../paintings_db/009.png,../paintings_db/012.png,../paintings_db/089.png,../paintings_db/042.png,../paintings_db/008.png
968,../paintings_db/009.png,../paintings_db/000.png,../paintings_db/042.png,../paintings_db/041.png,../paintings_db/087.png
972,../paintings_db/082.png,../paintings_db/025.png,../paintings_db/029.png,../paintings_db/042.png,../paintings_db/062.png
973,../paintings_db/092.png,../paintings_db/082.png,../paintings_db/093.png,../paintings_db/014.png,../paintings_db/009.png
981,../paintings_db/077.png,../paintings_db/009.png,../paintings_db/088.png,../paintings_db/042.png,../paintings_db/002.png
1001,../paintings_db/030.png,../paintings_db/039.png,../paintings_db/052.png,../paintings_db/054.png,../paintings_db/042.png
1002,../paintings_db/083.png,../paintings_db/059.png,../paintings_db/009.png,../paintings_db/034.png,../paintings_db/088.png
1008,../paintings_db/009.png,../paintings_db/031.png,../paintings_db/029.png,../paintings_db/050.png,../paintings_db/030.png
